,ENH_Strasse,ENH_Hausnummer,ENH_Plz,ENH_Ort,ENH_Bruttoleistung,ENH_Breitengrad,ENH_Laengengrad,ENH_InbetriebnahmeDatum,ENH_Betriebsstatus
100,Hermann-Billing-Straße,11,76137,Karlsruhe,62.4,49.003737,8.398781,2012-03-21 00:00:00,In Betrieb
101,Wattstraße,3,76185,Karlsruhe,48.75,49.032414,8.358692,2010-03-30 00:00:00,In Betrieb
102,Am Wetterbach,67,76228,Karlsruhe,36.44,48.957085,8.468422,2009-12-14 00:00:00,In Betrieb
103,Unterer Dammweg,7,76149,Karlsruhe,87.22,49.06377,8.370919,2013-04-30 00:00:00,In Betrieb
104,Daimlerstraße,7,76185,Karlsruhe,127.53,49.02675900000001,8.355737,2011-12-21 00:00:00,In Betrieb
105,Schenkenburgstraße,9,76135,Karlsruhe,30.36,48.993852,8.37165,2010-06-25 00:00:00,In Betrieb
106,Michelinstraße,4,76185,Karlsruhe,618.93,49.007179,8.351838,2012-11-30 00:00:00,In Betrieb
107,Eichelbergstraße,36,76189,Karlsruhe,179.52,48.99743,8.348949000000001,2014-11-28 00:00:00,In Betrieb
108,Ottostraße,21,76227,Karlsruhe,221.175,48.996543,8.435566,2011-07-28 00:00:00,In Betrieb
109,Zeppelinstraße,15,76185,Karlsruhe,115.0,49.002832,8.356617,2010-05-31 00:00:00,In Betrieb
110,Gablonzer Straße,3,76185,Karlsruhe,41.6,49.023064,8.353305,2015-12-21 00:00:00,In Betrieb
111,Bert-Brecht-Straße,66,76189,Karlsruhe,46.42,49.000175,8.339039,2009-07-30 00:00:00,In Betrieb
112,Wachhausstraße,22,76227,Karlsruhe,287.94,48.993477,8.439397999999999,2011-06-28 00:00:00,In Betrieb
113,Bruchwaldstraße,72,76229,Karlsruhe,208.74,49.022727,8.497967,2013-06-28 00:00:00,In Betrieb
114,An der Rossweid,24,76229,Karlsruhe,30.36,49.033591,8.472395,2009-10-31 00:00:00,In Betrieb
